Estimators:,Arsenal,CNN,CSP-SVM,DrCIF,HC2,IT,MRHydra,R-KNN,R-MDM,STC,SVM,TDE
Alzheimers,0.4915824915824916,0.3333333333333333,0.3148148148148148,0.443001443001443,0.3357383357383357,0.3227513227513228,0.4915824915824916,0.2631072631072631,0.38720538720538716,0.39490139490139486,0.41221741221741226,0.32395382395382394
Blink,0.975,0.799,0.885,0.98,1.0,0.758,0.9784999999999999,0.5605,0.33399999999999996,0.998,0.818,0.998
ButtonPress,1.0,0.7151506617854126,0.675443537031822,1.0,1.0,0.9850746268656716,1.0,0.9776119402985075,0.9552238805970149,0.9100253449732469,0.7469726837510561,1.0
EyesOpenShut,0.5238095238095237,0.5,0.3333333333333333,0.5238095238095238,0.45238095238095233,0.45238095238095233,0.4285714285714286,0.5238095238095238,0.5714285714285714,0.47619047619047616,0.5,0.4285714285714286
FaceDetection,0.5820090805902384,0.6572077185017027,0.5366061293984109,0.5964812712826334,0.6625993189557322,0.6716799091940976,0.5913734392735528,0.49545970488081725,0.5153234960272418,0.633938706015891,0.6923950056753689,0.5854143019296254
FeetHands,0.6639606880927611,0.5,0.5551155089639973,0.6747136773050559,0.7028660826172699,0.639498813498014,0.6473110247815974,0.5052460297818158,0.4985228918172238,0.669099770314717,0.6518795333726781,0.6236476173091545
FingerMovements,0.5724289715886355,0.4899959983993597,0.5132052821128451,0.4817927170868347,0.5418167266906763,0.5598239295718287,0.5814325730292116,0.5614245698279312,0.498999599839936,0.5618247298919568,0.4935974389755902,0.5006002400960384
HandMovementDirection,0.3869047619047619,0.6392857142857142,0.6476190476190476,0.555952380952381,0.3869047619047619,0.4488095238095238,0.29285714285714287,0.3297619047619047,0.4071428571428572,0.5059523809523809,0.5214285714285714,0.3369047619047619
ImaginedFeetHands,0.6769808643927286,0.6708476843265787,0.545174113514576,0.6862992171408548,0.6987103335697864,0.6330582785645303,0.6356526746263045,0.5147432418573248,0.49861600160674147,0.6945786363209039,0.6811296546360475,0.6537472117052826
ImaginedOpenCloseFist,0.7053438653384456,0.5,0.5815554789121009,0.7386554000788332,0.7778391174257355,0.7359578242018132,0.7021177482352099,0.5129100673666105,0.5067500985415846,0.7630130881140933,0.7323106657827785,0.6900016124986563
InnerSpeech,0.26253590634289725,0.25,0.25,0.2503340124920672,0.2770195230301613,0.23686495874945723,0.26214344166471826,0.26242526470489996,0.2625025050936905,0.20692491399178328,0.25,0.2770195230301613
LongIntervalTask,0.6300438596491228,0.49064327485380116,0.5,0.5598684210526316,0.5857456140350877,0.6507309941520467,0.6282163742690059,0.6065058479532164,0.5341374269005847,0.5527046783625731,0.5,0.5513157894736842
LowCost,0.6033333333333333,0.6499999999999999,0.5033333333333333,0.72,0.675,0.64,0.585,0.5666666666666667,0.5033333333333334,0.6583333333333333,0.5483333333333333,0.6483333333333333
MatchingPennies,0.5913335945663531,0.5,0.5885253396029257,0.5917580982236155,0.6131628787878788,0.5199026907001045,0.594092868338558,0.5578467868338558,0.56992881400209,0.5990726227795193,0.5523772204806687,0.555316091954023
MindReading,0.4997641864692898,0.2,0.3339690949227373,0.42411479028697574,0.47986910790806386,0.2,0.40063191793273595,0.5589193091806258,0.43443137254901953,0.4440023893000909,0.2144,0.33068058693676144
MotorImagery,0.5,0.5,0.47,0.43,0.55,0.54,0.51,0.43,0.53,0.51,0.55,0.52
OpenCloseFist,0.7370675368187194,0.5,0.610567017235819,0.7370104274913104,0.7777864872612607,0.7518498942917548,0.7079720141899881,0.5201651915290071,0.513136265094779,0.7571162701114416,0.7259166606944494,0.669304520371233
PhotoStimulation,0.3444444444444444,0.3333333333333333,0.3525252525252525,0.35555555555555557,0.3666666666666667,0.18888888888888888,0.3686868686868687,0.2636363636363636,0.2888888888888889,0.396969696969697,0.398989898989899,0.3444444444444445
PronouncedSpeech,0.27857974293396287,0.24754901960784315,0.25,0.31834874417994624,0.3228736310577743,0.24540133779264214,0.2730097055544626,0.24636861433536625,0.25077054233064466,0.32093907797232607,0.25725867269984914,0.30151157452947736
SelfRegulationSCP1,0.9182974559686888,0.8432811480756686,0.7584102134004287,0.8944413381791072,0.8771316745876432,0.8434442270058709,0.948932997856677,0.5226213773180506,0.5739446463516913,0.8429083962352064,0.8195881092162892,0.8331469574131023
SelfRegulationSCP2,0.5444444444444444,0.4833333333333333,0.5,0.5555555555555556,0.55,0.5,0.5333333333333333,0.5333333333333333,0.49444444444444446,0.48333333333333334,0.5055555555555555,0.5388888888888889
ShortIntervalTask,0.6720833333333334,0.5170833333333333,0.5,0.6081944444444445,0.5941666666666667,0.6576388888888889,0.6822222222222223,0.5138888888888888,0.571388888888889,0.5955555555555555,0.5025,0.4945833333333333
SitStand,0.42312500000000003,0.3234375,0.26125,0.40781249999999997,0.4115625,0.336875,0.41968749999999994,0.2840625,0.3403125,0.35531250000000003,0.359375,0.348125
Sleep,0.4256548484995929,0.3902322911083124,0.2819016088846892,0.42830174665043097,0.4508399692188262,0.46596436623323606,0.4256548484995929,0.2621813569865084,0.36585357399923485,0.4604899691322705,0.28274774380092876,0.3930115150898617
SongFamiliarity,0.5361713036481068,0.5,0.48686880914910735,0.520882438812496,0.49852238497746193,0.5012853470437018,0.515694763902043,0.5180340243112178,0.515783776855208,0.5159404396527782,0.5015701884938296,0.4728937755022111
VisualSpeech,0.20965213008280234,0.25,0.25,0.23511423800289347,0.28660983624218916,0.25,0.24109595761381478,0.2875284729276326,0.24282934327577185,0.2967412926709145,0.25,0.2914175285498815
